

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B363	0.000	ULS-Set  B  (auto)/2	302.88	-1.38	2.20	0.00	0.67	3.28
B363	0.000	ULS-Set  B  (auto)/1	224.35	-1.02	1.63	0.00	0.50	2.43
B363	2.719	ULS-Set  B  (auto)/2	303.30	-1.38	0.04	0.00	3.72	-0.46
B363	4.661	ULS-Set  B  (auto)/2	303.60	-1.38	-1.51	0.00	2.29	-3.13
B364	0.000	ULS-Set  B  (auto)/2	373.98	-0.78	2.12	0.00	1.45	1.90
B364	0.000	ULS-Set  B  (auto)/1	277.02	-0.58	1.57	0.00	1.08	1.41
B364	2.767	ULS-Set  B  (auto)/2	374.23	-0.78	-0.11	0.00	4.23	-0.26
B364	4.744	ULS-Set  B  (auto)/2	374.42	-0.78	-1.71	0.00	2.43	-1.81
B365	0.000	ULS-Set  B  (auto)/2	410.26	-0.26	2.01	0.00	2.04	0.65
B365	0.000	ULS-Set  B  (auto)/1	303.89	-0.19	1.49	0.00	1.51	0.48
B365	2.393+	ULS-Set  B  (auto)/2	410.33	-0.26	0.07	0.00	4.52	0.04
B365	4.786	ULS-Set  B  (auto)/2	410.40	-0.26	-1.88	0.00	2.35	-0.57
B366	4.786	ULS-Set  B  (auto)/2	410.26	0.26	-2.01	0.00	2.04	0.65
B366	4.786	ULS-Set  B  (auto)/1	303.89	0.19	-1.49	0.00	1.51	0.48
B366	2.393-	ULS-Set  B  (auto)/2	410.33	0.26	-0.07	0.00	4.52	0.04
B366	0.000	ULS-Set  B  (auto)/2	410.40	0.26	1.88	0.00	2.35	-0.57
B367	4.744	ULS-Set  B  (auto)/2	373.98	0.78	-2.12	0.00	1.45	1.90
B367	4.744	ULS-Set  B  (auto)/1	277.02	0.58	-1.57	0.00	1.08	1.41
B367	1.977	ULS-Set  B  (auto)/2	374.23	0.78	0.11	0.00	4.23	-0.26
B367	0.000	ULS-Set  B  (auto)/2	374.42	0.78	1.71	0.00	2.43	-1.81
B368	4.661	ULS-Set  B  (auto)/2	302.88	1.38	-2.20	0.00	0.67	3.28
B368	4.661	ULS-Set  B  (auto)/1	224.35	1.02	-1.63	0.00	0.50	2.43
B368	1.942	ULS-Set  B  (auto)/2	303.30	1.38	-0.04	0.00	3.72	-0.46
B368	0.000	ULS-Set  B  (auto)/2	303.60	1.38	1.51	0.00	2.29	-3.13
B369	4.542	ULS-Set  B  (auto)/1	146.54	1.40	-1.71	0.00	-0.29	3.14
B369	4.542	ULS-Set  B  (auto)/2	197.83	1.89	-2.31	0.00	-0.39	4.23
B369	1.652	ULS-Set  B  (auto)/2	198.45	1.89	-0.05	0.00	3.02	-1.23
B369	0.000	ULS-Set  B  (auto)/2	198.81	1.89	1.24	0.00	2.03	-4.35
B370	4.393	ULS-Set  B  (auto)/1	42.24	3.21	-1.99	0.00	-1.63	7.50
B370	4.393	ULS-Set  B  (auto)/2	57.03	4.33	-2.69	0.00	-2.20	10.12
B370	0.799	ULS-Set  B  (auto)/2	58.02	4.33	0.06	0.00	2.52	-5.45
B370	0.000	ULS-Set  B  (auto)/2	58.24	4.33	0.67	0.00	2.23	-8.91
B371	0.000	ULS-Set  B  (auto)/1	44.96	-1.62	1.45	0.00	-0.48	3.75
B371	0.000	ULS-Set  B  (auto)/2	60.70	-2.19	1.95	0.00	-0.65	5.06
B371	2.383	ULS-Set  B  (auto)/2	61.36	-2.19	0.14	0.00	1.84	-0.16
B371	4.368	ULS-Set  B  (auto)/2	61.92	-2.19	-1.38	0.00	0.60	-4.50
B372	0.000	ULS-Set  B  (auto)/1	154.55	-0.72	1.61	0.00	-0.12	1.61
B372	0.000	ULS-Set  B  (auto)/2	208.65	-0.97	2.17	0.00	-0.16	2.17
B372	2.881	ULS-Set  B  (auto)/2	209.27	-0.97	-0.08	0.00	2.86	-0.63
B372	4.527	ULS-Set  B  (auto)/2	209.63	-0.97	-1.37	0.00	1.67	-2.23
B373	0.000	ULS-Set  B  (auto)/2	319.90	-0.71	2.02	0.00	1.26	1.68
B373	0.000	ULS-Set  B  (auto)/1	236.96	-0.52	1.50	0.00	0.93	1.25
B373	2.715	ULS-Set  B  (auto)/2	320.33	-0.71	-0.14	0.00	3.81	-0.23
B373	4.654	ULS-Set  B  (auto)/2	320.63	-0.71	-1.69	0.00	2.04	-1.60
B374	0.000	ULS-Set  B  (auto)/2	393.51	-0.40	2.03	0.00	1.79	0.98
B374	0.000	ULS-Set  B  (auto)/1	291.49	-0.30	1.50	0.00	1.32	0.72
B374	2.371+	ULS-Set  B  (auto)/2	393.73	-0.40	0.12	0.00	4.33	0.02
B374	4.742	ULS-Set  B  (auto)/2	393.95	-0.40	-1.80	0.00	2.33	-0.93
B375	0.000	ULS-Set  B  (auto)/2	430.15	-0.13	1.98	0.00	2.22	0.33
B375	0.000	ULS-Set  B  (auto)/1	318.63	-0.10	1.46	0.00	1.64	0.25
B375	2.394+	ULS-Set  B  (auto)/2	430.23	-0.13	0.03	0.00	4.62	0.02
B375	4.787	ULS-Set  B  (auto)/2	430.30	-0.13	-1.91	0.00	2.38	-0.30
B376	4.787	ULS-Set  B  (auto)/2	430.15	0.13	-1.98	0.00	2.22	0.33
B376	4.787	ULS-Set  B  (auto)/1	318.63	0.10	-1.46	0.00	1.64	0.25
B376	2.394-	ULS-Set  B  (auto)/2	430.23	0.13	-0.03	0.00	4.62	0.02
B376	0.000	ULS-Set  B  (auto)/2	430.30	0.13	1.91	0.00	2.38	-0.30
B377	4.742	ULS-Set  B  (auto)/2	393.51	0.40	-2.03	0.00	1.79	0.98
B377	4.742	ULS-Set  B  (auto)/1	291.49	0.30	-1.50	0.00	1.32	0.72
B377	2.371-	ULS-Set  B  (auto)/2	393.73	0.40	-0.12	0.00	4.33	0.02
B377	0.000	ULS-Set  B  (auto)/2	393.95	0.40	1.80	0.00	2.33	-0.93
B378	4.654	ULS-Set  B  (auto)/2	319.90	0.71	-2.02	0.00	1.26	1.68
B378	4.654	ULS-Set  B  (auto)/1	236.96	0.52	-1.50	0.00	0.93	1.25
B378	1.939	ULS-Set  B  (auto)/2	320.33	0.71	0.14	0.00	3.81	-0.23
B378	0.000	ULS-Set  B  (auto)/2	320.63	0.71	1.69	0.00	2.04	-1.60
B379	4.527	ULS-Set  B  (auto)/1	154.55	0.72	-1.61	0.00	-0.12	1.61
B379	4.527	ULS-Set  B  (auto)/2	208.65	0.97	-2.17	0.00	-0.16	2.17
B379	1.646	ULS-Set  B  (auto)/2	209.27	0.97	0.08	0.00	2.86	-0.63
B379	0.000	ULS-Set  B  (auto)/2	209.63	0.97	1.37	0.00	1.67	-2.23
B380	4.368	ULS-Set  B  (auto)/1	44.96	1.62	-1.45	0.00	-0.48	3.75
B380	4.368	ULS-Set  B  (auto)/2	60.70	2.19	-1.95	0.00	-0.65	5.06
B380	1.986	ULS-Set  B  (auto)/2	61.36	2.19	-0.14	0.00	1.84	-0.16
B380	0.000	ULS-Set  B  (auto)/2	61.92	2.19	1.38	0.00	0.60	-4.50
B381	0.000	ULS-Set  B  (auto)/1	45.25	-0.01	1.26	0.00	-0.11	0.01
B381	0.000	ULS-Set  B  (auto)/2	61.09	-0.01	1.70	0.00	-0.15	0.02
B381	2.180-	ULS-Set  B  (auto)/2	61.71	-0.01	0.04	0.00	1.76	0.00
B381	4.360	ULS-Set  B  (auto)/2	62.32	-0.01	-1.62	0.00	0.04	-0.02
B382	0.000	ULS-Set  B  (auto)/1	156.46	0.00	1.58	0.00	-0.07	-0.01
B382	4.522	ULS-Set  B  (auto)/2	212.21	0.00	-1.41	0.00	1.53	0.00
B382	2.878	ULS-Set  B  (auto)/2	211.85	0.00	-0.12	0.00	2.79	0.00
B382	0.000	ULS-Set  B  (auto)/2	211.22	0.00	2.13	0.00	-0.10	-0.01
B383	4.651	ULS-Set  B  (auto)/2	325.51	0.00	-1.74	0.00	1.95	0.00
B383	0.000	ULS-Set  B  (auto)/1	240.57	0.00	1.45	0.00	1.07	0.00
B383	2.326+	ULS-Set  B  (auto)/2	325.14	0.00	0.11	0.00	3.85	0.00
B383	0.000	ULS-Set  B  (auto)/2	324.78	0.00	1.96	0.00	1.45	0.00
B384	4.741	ULS-Set  B  (auto)/2	400.03	0.00	-1.83	0.00	2.30	0.00
B384	0.000	ULS-Set  B  (auto)/1	295.99	0.00	1.48	0.00	1.41	0.00
B384	2.371+	ULS-Set  B  (auto)/2	399.81	0.00	0.09	0.00	4.37	0.00
B384	0.000	ULS-Set  B  (auto)/2	399.59	0.00	2.00	0.00	1.90	0.00
B385	4.788	ULS-Set  B  (auto)/2	436.72	0.00	-1.92	0.00	2.39	0.00
B385	0.000	ULS-Set  B  (auto)/1	323.39	0.00	1.46	0.00	1.69	0.00
B385	2.394-	ULS-Set  B  (auto)/2	436.65	0.00	0.02	0.00	4.66	0.00
B385	0.000	ULS-Set  B  (auto)/2	436.57	0.00	1.96	0.00	2.28	0.00
B386	0.000	ULS-Set  B  (auto)/2	436.72	0.00	1.92	0.00	2.39	0.00
B386	4.788	ULS-Set  B  (auto)/1	323.39	0.00	-1.46	0.00	1.69	0.00
B386	2.394-	ULS-Set  B  (auto)/2	436.65	0.00	-0.02	0.00	4.66	0.00
B386	4.788	ULS-Set  B  (auto)/2	436.57	0.00	-1.96	0.00	2.28	0.00
B387	0.000	ULS-Set  B  (auto)/2	400.03	0.00	1.83	0.00	2.30	0.00
B387	4.741	ULS-Set  B  (auto)/1	295.99	0.00	-1.48	0.00	1.41	0.00
B387	2.371-	ULS-Set  B  (auto)/2	399.81	0.00	-0.09	0.00	4.37	0.00
B387	4.741	ULS-Set  B  (auto)/2	399.59	0.00	-2.00	0.00	1.90	0.00
B388	0.000	ULS-Set  B  (auto)/2	325.51	0.00	1.74	0.00	1.95	0.00
B388	4.651	ULS-Set  B  (auto)/1	240.57	0.00	-1.45	0.00	1.07	0.00
B388	2.326-	ULS-Set  B  (auto)/2	325.14	0.00	-0.11	0.00	3.85	0.00
B388	4.651	ULS-Set  B  (auto)/2	324.78	0.00	-1.96	0.00	1.45	0.00
B389	4.522	ULS-Set  B  (auto)/1	156.46	0.00	-1.58	0.00	-0.07	-0.01
B389	0.000	ULS-Set  B  (auto)/2	212.21	0.00	1.41	0.00	1.53	0.00
B389	1.644	ULS-Set  B  (auto)/2	211.85	0.00	0.12	0.00	2.79	0.00
B389	4.522	ULS-Set  B  (auto)/2	211.22	0.00	-2.13	0.00	-0.10	-0.01
B390	4.360	ULS-Set  B  (auto)/1	45.25	0.01	-1.26	0.00	-0.11	0.01
B390	4.360	ULS-Set  B  (auto)/2	61.09	0.01	-1.70	0.00	-0.15	0.02
B390	2.180+	ULS-Set  B  (auto)/2	61.71	0.01	-0.04	0.00	1.76	0.00
B390	0.000	ULS-Set  B  (auto)/2	62.32	0.01	1.62	0.00	0.04	-0.02
B391	4.368	ULS-Set  B  (auto)/2	61.32	2.17	-1.38	0.00	0.59	4.46
B391	0.000	ULS-Set  B  (auto)/1	44.51	1.61	1.44	0.00	-0.48	-3.72
B391	2.383	ULS-Set  B  (auto)/2	60.76	2.17	0.13	0.00	1.83	0.15
B391	0.000	ULS-Set  B  (auto)/2	60.09	2.17	1.95	0.00	-0.65	-5.02
B392	4.527	ULS-Set  B  (auto)/2	209.24	0.98	-1.36	0.00	1.67	2.24
B392	0.000	ULS-Set  B  (auto)/1	154.26	0.72	1.61	0.00	-0.13	-1.62
B392	2.881	ULS-Set  B  (auto)/2	208.88	0.98	-0.07	0.00	2.86	0.63
B392	0.000	ULS-Set  B  (auto)/2	208.25	0.98	2.18	0.00	-0.18	-2.19
B393	4.654	ULS-Set  B  (auto)/2	320.13	0.71	-1.69	0.00	2.04	1.61
B393	0.000	ULS-Set  B  (auto)/1	236.60	0.53	1.50	0.00	0.94	-1.25
B393	2.715	ULS-Set  B  (auto)/2	319.83	0.71	-0.14	0.00	3.81	0.23
B393	0.000	ULS-Set  B  (auto)/2	319.40	0.71	2.02	0.00	1.26	-1.69
B394	4.742	ULS-Set  B  (auto)/2	393.36	0.41	-1.80	0.00	2.34	0.94
B394	0.000	ULS-Set  B  (auto)/1	291.05	0.30	1.50	0.00	1.32	-0.73
B394	2.371+	ULS-Set  B  (auto)/2	393.13	0.41	0.12	0.00	4.33	-0.02
B394	0.000	ULS-Set  B  (auto)/2	392.91	0.41	2.03	0.00	1.79	-0.98
B395	4.787	ULS-Set  B  (auto)/2	429.65	0.13	-1.91	0.00	2.38	0.30
B395	0.000	ULS-Set  B  (auto)/1	318.15	0.10	1.46	0.00	1.64	-0.25
B395	2.394-	ULS-Set  B  (auto)/2	429.58	0.13	0.03	0.00	4.62	-0.02
B395	0.000	ULS-Set  B  (auto)/2	429.50	0.13	1.98	0.00	2.22	-0.34
B396	0.000	ULS-Set  B  (auto)/2	429.65	-0.13	1.91	0.00	2.38	0.30
B396	4.787	ULS-Set  B  (auto)/1	318.15	-0.10	-1.46	0.00	1.64	-0.25
B396	2.394-	ULS-Set  B  (auto)/2	429.58	-0.13	-0.03	0.00	4.62	-0.02
B396	4.787	ULS-Set  B  (auto)/2	429.50	-0.13	-1.98	0.00	2.22	-0.34
B397	0.000	ULS-Set  B  (auto)/2	393.36	-0.41	1.80	0.00	2.34	0.94
B397	4.742	ULS-Set  B  (auto)/1	291.05	-0.30	-1.50	0.00	1.32	-0.73
B397	2.371-	ULS-Set  B  (auto)/2	393.13	-0.41	-0.12	0.00	4.33	-0.02
B397	4.742	ULS-Set  B  (auto)/2	392.91	-0.41	-2.03	0.00	1.79	-0.98
B398	0.000	ULS-Set  B  (auto)/2	320.13	-0.71	1.69	0.00	2.04	1.61
B398	4.654	ULS-Set  B  (auto)/1	236.60	-0.53	-1.50	0.00	0.94	-1.25
B398	1.939	ULS-Set  B  (auto)/2	319.83	-0.71	0.14	0.00	3.81	0.23
B398	4.654	ULS-Set  B  (auto)/2	319.40	-0.71	-2.02	0.00	1.26	-1.69
B399	4.527	ULS-Set  B  (auto)/1	154.26	-0.72	-1.61	0.00	-0.13	-1.62
B399	0.000	ULS-Set  B  (auto)/2	209.24	-0.98	1.36	0.00	1.67	2.24
B399	1.646	ULS-Set  B  (auto)/2	208.88	-0.98	0.07	0.00	2.86	0.63
B399	4.527	ULS-Set  B  (auto)/2	208.25	-0.98	-2.18	0.00	-0.18	-2.19
B400	4.368	ULS-Set  B  (auto)/1	44.51	-1.61	-1.44	0.00	-0.48	-3.72
B400	0.000	ULS-Set  B  (auto)/2	61.32	-2.17	1.38	0.00	0.59	4.46
B400	1.986	ULS-Set  B  (auto)/2	60.76	-2.17	-0.13	0.00	1.83	0.15
B400	4.368	ULS-Set  B  (auto)/2	60.09	-2.17	-1.95	0.00	-0.65	-5.02
B401	4.393	ULS-Set  B  (auto)/2	57.10	4.31	-0.68	0.00	2.19	8.87
B401	0.000	ULS-Set  B  (auto)/1	41.40	3.19	1.98	0.00	-1.62	-7.46
B401	3.594	ULS-Set  B  (auto)/2	56.88	4.31	-0.07	0.00	2.49	5.43
B401	0.000	ULS-Set  B  (auto)/2	55.89	4.31	2.67	0.00	-2.19	-10.08
B402	4.542	ULS-Set  B  (auto)/2	198.04	1.90	-1.23	0.00	2.05	4.36
B402	0.000	ULS-Set  B  (auto)/1	145.97	1.40	1.72	0.00	-0.32	-3.15
B402	2.890	ULS-Set  B  (auto)/2	197.68	1.90	0.06	0.00	3.02	1.23
B402	0.000	ULS-Set  B  (auto)/2	197.06	1.90	2.32	0.00	-0.43	-4.25
B403	4.661	ULS-Set  B  (auto)/2	302.58	1.38	-1.51	0.00	2.29	3.14
B403	0.000	ULS-Set  B  (auto)/1	223.60	1.02	1.63	0.00	0.50	-2.44
B403	2.719	ULS-Set  B  (auto)/2	302.28	1.38	0.04	0.00	3.72	0.46
B403	0.000	ULS-Set  B  (auto)/2	301.86	1.38	2.20	0.00	0.68	-3.29
B404	4.744	ULS-Set  B  (auto)/2	373.20	0.79	-1.71	0.00	2.43	1.82
B404	0.000	ULS-Set  B  (auto)/1	276.12	0.58	1.57	0.00	1.08	-1.42
B404	2.767	ULS-Set  B  (auto)/2	373.02	0.79	-0.11	0.00	4.23	0.27
B404	0.000	ULS-Set  B  (auto)/2	372.76	0.79	2.12	0.00	1.46	-1.91
B405	4.786	ULS-Set  B  (auto)/2	409.09	0.26	-1.88	0.00	2.36	0.58
B405	0.000	ULS-Set  B  (auto)/1	302.92	0.19	1.49	0.00	1.52	-0.48
B405	2.393+	ULS-Set  B  (auto)/2	409.02	0.26	0.07	0.00	4.53	-0.04
B405	0.000	ULS-Set  B  (auto)/2	408.95	0.26	2.01	0.00	2.05	-0.65
B406	0.000	ULS-Set  B  (auto)/2	409.09	-0.26	1.88	0.00	2.36	0.58
B406	4.786	ULS-Set  B  (auto)/1	302.92	-0.19	-1.49	0.00	1.52	-0.48
B406	2.393-	ULS-Set  B  (auto)/2	409.02	-0.26	-0.07	0.00	4.53	-0.04
B406	4.786	ULS-Set  B  (auto)/2	408.95	-0.26	-2.01	0.00	2.05	-0.65
B407	0.000	ULS-Set  B  (auto)/2	373.20	-0.79	1.71	0.00	2.43	1.82
B407	4.744	ULS-Set  B  (auto)/1	276.12	-0.58	-1.57	0.00	1.08	-1.42
B407	1.977	ULS-Set  B  (auto)/2	373.02	-0.79	0.11	0.00	4.23	0.27
B407	4.744	ULS-Set  B  (auto)/2	372.76	-0.79	-2.12	0.00	1.46	-1.91
B408	0.000	ULS-Set  B  (auto)/2	302.58	-1.38	1.51	0.00	2.29	3.14
B408	4.661	ULS-Set  B  (auto)/1	223.60	-1.02	-1.63	0.00	0.50	-2.44
B408	1.942	ULS-Set  B  (auto)/2	302.28	-1.38	-0.04	0.00	3.72	0.46
B408	4.661	ULS-Set  B  (auto)/2	301.86	-1.38	-2.20	0.00	0.68	-3.29
B409	4.542	ULS-Set  B  (auto)/1	145.97	-1.40	-1.72	0.00	-0.32	-3.15
B409	0.000	ULS-Set  B  (auto)/2	198.04	-1.90	1.23	0.00	2.05	4.36
B409	1.652	ULS-Set  B  (auto)/2	197.68	-1.90	-0.06	0.00	3.02	1.23
B409	4.542	ULS-Set  B  (auto)/2	197.06	-1.90	-2.32	0.00	-0.43	-4.25
B410	4.393	ULS-Set  B  (auto)/1	41.40	-3.19	-1.98	0.00	-1.62	-7.46
B410	0.000	ULS-Set  B  (auto)/2	57.10	-4.31	0.68	0.00	2.19	8.87
B410	0.799	ULS-Set  B  (auto)/2	56.88	-4.31	0.07	0.00	2.49	5.43
B410	4.393	ULS-Set  B  (auto)/2	55.89	-4.31	-2.67	0.00	-2.19	-10.08
B411	4.433	ULS-Set  B  (auto)/1	37.24	4.39	0.18	0.01	3.21	9.21
B411	0.000	ULS-Set  B  (auto)/1	36.36	4.39	2.70	0.01	-3.16	-10.24
B411	0.000	ULS-Set  B  (auto)/2	49.08	5.92	3.64	0.01	-4.26	-13.83
B411	4.433	ULS-Set  B  (auto)/2	50.27	5.92	0.24	0.01	4.34	12.43
B412	4.567	ULS-Set  B  (auto)/2	176.80	2.63	-1.03	0.01	2.48	6.11
B412	0.000	ULS-Set  B  (auto)/1	130.25	1.95	1.89	0.00	-0.74	-4.38
B412	3.321	ULS-Set  B  (auto)/2	176.54	2.63	-0.05	0.01	3.15	2.83
B412	0.000	ULS-Set  B  (auto)/2	175.84	2.63	2.55	0.01	-1.00	-5.91
B413	4.673	ULS-Set  B  (auto)/2	273.98	1.91	-1.24	0.00	2.64	4.39
B413	0.000	ULS-Set  B  (auto)/1	202.42	1.42	1.84	0.00	-0.21	-3.37
B413	3.115	ULS-Set  B  (auto)/2	273.74	1.91	0.01	0.00	3.60	1.41
B413	0.000	ULS-Set  B  (auto)/2	273.27	1.91	2.49	0.00	-0.29	-4.56
B414	4.746	ULS-Set  B  (auto)/2	344.32	1.10	-1.57	0.00	2.59	2.55
B414	0.000	ULS-Set  B  (auto)/1	254.73	0.81	1.67	0.00	0.70	-1.97
B414	2.769	ULS-Set  B  (auto)/2	344.14	1.10	0.03	0.00	4.12	0.38
B414	0.000	ULS-Set  B  (auto)/2	343.89	1.10	2.26	0.00	0.95	-2.65
B415	4.784	ULS-Set  B  (auto)/2	381.71	0.36	-1.83	0.00	2.35	0.81
B415	0.000	ULS-Set  B  (auto)/1	282.64	0.27	1.52	0.00	1.34	-0.67
B415	2.392+	ULS-Set  B  (auto)/2	381.64	0.36	0.11	0.00	4.40	-0.05
B415	0.000	ULS-Set  B  (auto)/2	381.57	0.36	2.05	0.00	1.80	-0.90
B416	0.000	ULS-Set  B  (auto)/2	381.71	-0.36	1.83	0.00	2.35	0.81
B416	4.784	ULS-Set  B  (auto)/1	282.64	-0.27	-1.52	0.00	1.34	-0.67
B416	2.392-	ULS-Set  B  (auto)/2	381.64	-0.36	-0.11	0.00	4.40	-0.05
B416	4.784	ULS-Set  B  (auto)/2	381.57	-0.36	-2.05	0.00	1.80	-0.90
B417	0.000	ULS-Set  B  (auto)/2	344.32	-1.10	1.57	0.00	2.59	2.55
B417	4.746	ULS-Set  B  (auto)/1	254.73	-0.81	-1.67	0.00	0.70	-1.97
B417	1.978	ULS-Set  B  (auto)/2	344.14	-1.10	-0.03	0.00	4.12	0.38
B417	4.746	ULS-Set  B  (auto)/2	343.89	-1.10	-2.26	0.00	0.95	-2.65
B418	4.673	ULS-Set  B  (auto)/1	202.42	-1.42	-1.84	0.00	-0.21	-3.37
B418	0.000	ULS-Set  B  (auto)/2	273.98	-1.91	1.24	0.00	2.64	4.39
B418	1.558	ULS-Set  B  (auto)/2	273.74	-1.91	-0.01	0.00	3.60	1.41
B418	4.673	ULS-Set  B  (auto)/2	273.27	-1.91	-2.49	0.00	-0.29	-4.56
B419	4.567	ULS-Set  B  (auto)/1	130.25	-1.95	-1.89	0.00	-0.74	-4.38
B419	0.000	ULS-Set  B  (auto)/2	176.80	-2.63	1.03	-0.01	2.48	6.11
B419	1.245	ULS-Set  B  (auto)/2	176.54	-2.63	0.05	-0.01	3.15	2.83
B419	4.567	ULS-Set  B  (auto)/2	175.84	-2.63	-2.55	-0.01	-1.00	-5.91
B420	4.433	ULS-Set  B  (auto)/1	36.36	-4.39	-2.70	-0.01	-3.16	-10.24
B420	0.000	ULS-Set  B  (auto)/2	50.27	-5.92	-0.24	-0.01	4.34	12.43
B420	0.000	ULS-Set  B  (auto)/1	37.24	-4.39	-0.18	-0.01	3.21	9.21
B420	4.433	ULS-Set  B  (auto)/2	49.08	-5.92	-3.64	-0.01	-4.26	-13.83
B421	4.486	ULS-Set  B  (auto)/1	8.71	7.76	2.14	0.01	7.00	16.17
B421	0.000	ULS-Set  B  (auto)/1	7.85	7.76	4.70	0.01	-8.33	-18.65
B421	0.000	ULS-Set  B  (auto)/2	10.60	10.48	6.34	0.02	-11.25	-25.18
B421	4.486	ULS-Set  B  (auto)/2	11.76	10.48	2.89	0.02	9.45	21.82
B422	4.599	ULS-Set  B  (auto)/2	104.01	4.66	-0.07	0.01	4.21	10.66
B422	0.000	ULS-Set  B  (auto)/1	76.35	3.45	2.62	0.00	-2.79	-7.97
B422	0.000	ULS-Set  B  (auto)/2	103.08	4.66	3.54	0.01	-3.77	-10.75
B423	4.688	ULS-Set  B  (auto)/2	196.64	3.25	-0.52	0.00	3.85	7.38
B423	0.000	ULS-Set  B  (auto)/1	145.14	2.41	2.39	0.00	-1.85	-5.81
B423	3.907	ULS-Set  B  (auto)/2	196.52	3.25	0.11	0.00	4.01	4.85
B423	0.000	ULS-Set  B  (auto)/2	195.95	3.25	3.23	0.00	-2.50	-7.84
B424	4.750	ULS-Set  B  (auto)/2	272.56	1.85	-1.20	0.00	3.21	4.20
B424	0.000	ULS-Set  B  (auto)/1	201.58	1.37	1.95	0.00	-0.13	-3.42
B424	3.167	ULS-Set  B  (auto)/2	272.42	1.85	0.07	0.00	4.10	1.26
B424	0.000	ULS-Set  B  (auto)/2	272.14	1.85	2.63	0.00	-0.18	-4.61
B425	4.782	ULS-Set  B  (auto)/2	314.78	0.60	-1.71	0.00	2.46	1.25
B425	0.000	ULS-Set  B  (auto)/1	233.06	0.45	1.61	0.00	1.00	-1.21
B425	2.789	ULS-Set  B  (auto)/2	314.72	0.60	-0.09	0.00	4.25	0.05
B425	0.000	ULS-Set  B  (auto)/2	314.64	0.60	2.17	0.00	1.35	-1.63
B426	0.000	ULS-Set  B  (auto)/2	314.78	-0.60	1.71	0.00	2.46	1.25
B426	4.782	ULS-Set  B  (auto)/1	233.06	-0.45	-1.61	0.00	1.00	-1.21
B426	1.992	ULS-Set  B  (auto)/2	314.72	-0.60	0.09	0.00	4.25	0.05
B426	4.782	ULS-Set  B  (auto)/2	314.64	-0.60	-2.17	0.00	1.35	-1.63
B427	4.750	ULS-Set  B  (auto)/1	201.58	-1.37	-1.95	0.00	-0.13	-3.42
B427	0.000	ULS-Set  B  (auto)/2	272.56	-1.85	1.20	0.00	3.21	4.20
B427	1.583	ULS-Set  B  (auto)/2	272.42	-1.85	-0.07	0.00	4.10	1.26
B427	4.750	ULS-Set  B  (auto)/2	272.14	-1.85	-2.63	0.00	-0.18	-4.61
B428	4.688	ULS-Set  B  (auto)/1	145.14	-2.41	-2.39	0.00	-1.85	-5.81
B428	0.000	ULS-Set  B  (auto)/2	196.64	-3.25	0.52	0.00	3.85	7.38
B428	0.781	ULS-Set  B  (auto)/2	196.52	-3.25	-0.11	0.00	4.01	4.85
B428	4.688	ULS-Set  B  (auto)/2	195.95	-3.25	-3.23	0.00	-2.50	-7.84
B429	4.599	ULS-Set  B  (auto)/1	76.35	-3.45	-2.62	0.00	-2.79	-7.97
B429	0.000	ULS-Set  B  (auto)/2	104.01	-4.66	0.07	-0.01	4.21	10.66
B429	4.599	ULS-Set  B  (auto)/2	103.08	-4.66	-3.54	-0.01	-3.77	-10.75
B430	4.486	ULS-Set  B  (auto)/1	7.85	-7.76	-4.70	-0.01	-8.33	-18.65
B430	0.000	ULS-Set  B  (auto)/2	11.76	-10.48	-2.89	-0.02	9.45	21.82
B430	0.000	ULS-Set  B  (auto)/1	8.71	-7.76	-2.14	-0.01	7.00	16.17
B430	4.486	ULS-Set  B  (auto)/2	10.60	-10.48	-6.34	-0.02	-11.25	-25.18
B431	4.549	ULS-Set  B  (auto)/1	-587.51	7.28	1.88	0.01	5.89	15.01
B431	0.000	ULS-Set  B  (auto)/2	-794.26	9.83	6.06	0.02	-11.62	-24.43
B431	4.549	ULS-Set  B  (auto)/2	-793.14	9.83	2.54	0.02	7.96	20.26
B432	4.638	ULS-Set  B  (auto)/1	-424.16	2.40	-0.19	0.00	2.34	6.12
B432	4.638	ULS-Set  B  (auto)/2	-572.62	3.24	-0.25	0.00	3.16	8.26
B432	4.252	ULS-Set  B  (auto)/2	-572.69	3.24	0.05	0.00	3.19	7.01
B432	0.000	ULS-Set  B  (auto)/2	-573.53	3.24	3.40	0.00	-4.15	-6.74
B433	4.707	ULS-Set  B  (auto)/1	-281.80	1.97	-0.44	0.00	2.53	4.52
B433	4.707	ULS-Set  B  (auto)/2	-380.42	2.66	-0.60	0.00	3.41	6.11
B433	3.923	ULS-Set  B  (auto)/2	-380.53	2.66	0.03	0.00	3.64	4.02
B433	0.000	ULS-Set  B  (auto)/2	-381.09	2.66	3.16	0.00	-2.62	-6.43
B434	4.754	ULS-Set  B  (auto)/1	-183.09	1.07	-0.94	0.00	2.23	2.51
