

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B15	0.000	ULS-Set  B  (auto)/2	-200.63	0.40	8.37	0.00	-3.60	-0.60
B16	0.000	ULS-Set  B  (auto)/2	-199.13	-0.42	8.08	0.00	-3.08	0.87
B16	0.000	ULS-Set  B  (auto)/1	-147.51	-0.31	5.99	0.00	-2.28	0.64
B16	1.787-	ULS-Set  B  (auto)/2	-199.45	-0.42	-0.15	0.00	4.01	0.11
B16	3.575	ULS-Set  B  (auto)/2	-199.77	-0.42	-8.38	0.00	-3.62	-0.65
B17	0.000	ULS-Set  B  (auto)/2	-180.93	-1.24	7.69	0.00	-2.60	2.31
B17	0.000	ULS-Set  B  (auto)/1	-134.02	-0.92	5.70	0.00	-1.93	1.71
B17	1.583	ULS-Set  B  (auto)/2	-181.77	-1.24	0.44	0.00	3.83	0.36
B17	3.561	ULS-Set  B  (auto)/2	-182.82	-1.24	-8.61	0.00	-4.25	-2.09
B18	0.000	ULS-Set  B  (auto)/2	-148.71	-2.00	7.28	0.00	-2.25	3.63
B18	0.000	ULS-Set  B  (auto)/1	-110.15	-1.48	5.40	0.00	-1.67	2.69
B18	1.570	ULS-Set  B  (auto)/2	-150.09	-2.00	0.18	0.00	3.61	0.48
B18	3.533	ULS-Set  B  (auto)/2	-151.83	-2.00	-8.70	0.00	-4.75	-3.45
B19	0.000	ULS-Set  B  (auto)/2	-101.59	-2.23	6.93	0.00	-1.91	4.39
B19	0.000	ULS-Set  B  (auto)/1	-75.25	-1.65	5.14	0.00	-1.42	3.25
B19	1.552	ULS-Set  B  (auto)/2	-103.49	-2.23	0.04	0.00	3.50	0.93
B19	3.492	ULS-Set  B  (auto)/2	-105.87	-2.23	-8.58	0.00	-4.79	-3.41
B20	0.000	ULS-Set  B  (auto)/2	-31.00	-6.27	6.11	0.00	0.30	10.16
B20	0.000	ULS-Set  B  (auto)/1	-22.96	-4.64	4.52	0.00	0.22	7.52
B20	1.529	ULS-Set  B  (auto)/2	-33.38	-6.27	-0.52	0.00	4.57	0.57
B20	3.439	ULS-Set  B  (auto)/2	-36.36	-6.27	-8.81	0.00	-4.35	-11.41
B21	3.647	ULS-Set  B  (auto)/1	-40.19	2.99	-5.96	0.00	-1.89	5.18
B21	3.647	ULS-Set  B  (auto)/2	-54.26	4.03	-8.05	0.00	-2.54	6.99
B21	1.824-	ULS-Set  B  (auto)/2	-57.01	4.03	-0.11	0.00	4.89	-0.36
B21	0.000	ULS-Set  B  (auto)/2	-59.76	4.03	7.84	0.00	-2.16	-7.72
B22	3.710	ULS-Set  B  (auto)/1	-110.99	0.98	-5.70	0.00	-2.15	2.08
B22	3.710	ULS-Set  B  (auto)/2	-149.84	1.32	-7.69	0.00	-2.90	2.81
B22	2.061	ULS-Set  B  (auto)/2	-151.79	1.32	-0.35	0.00	3.73	0.63
B22	0.000	ULS-Set  B  (auto)/2	-154.23	1.32	8.83	0.00	-5.01	-2.09
B23	3.758	ULS-Set  B  (auto)/1	-160.69	0.88	-6.11	0.00	-2.38	1.69
B23	3.758	ULS-Set  B  (auto)/2	-216.93	1.19	-8.25	0.00	-3.21	2.28
B23	1.879+	ULS-Set  B  (auto)/2	-218.53	1.19	0.26	0.00	4.29	0.04
B23	0.000	ULS-Set  B  (auto)/2	-220.12	1.19	8.78	0.00	-4.21	-2.19
B24	3.791	ULS-Set  B  (auto)/1	-190.83	0.53	-6.28	0.00	-2.47	1.06
B24	3.791	ULS-Set  B  (auto)/2	-257.62	0.72	-8.48	0.00	-3.34	1.44
B24	1.896+	ULS-Set  B  (auto)/2	-258.59	0.72	0.21	0.00	4.50	0.08
B24	0.000	ULS-Set  B  (auto)/2	-259.56	0.72	8.89	0.00	-4.12	-1.28
B25	3.808	ULS-Set  B  (auto)/1	-205.23	0.18	-6.45	0.00	-2.65	0.40
B25	3.808	ULS-Set  B  (auto)/2	-277.06	0.24	-8.71	0.00	-3.57	0.54
B25	1.904+	ULS-Set  B  (auto)/2	-277.38	0.24	0.06	0.00	4.66	0.08
B25	0.000	ULS-Set  B  (auto)/2	-277.71	0.24	8.83	0.00	-3.79	-0.38
B26	0.000	ULS-Set  B  (auto)/2	-276.13	-0.24	8.71	0.00	-3.57	0.54
B26	0.000	ULS-Set  B  (auto)/1	-204.54	-0.18	6.45	0.00	-2.65	0.40
B26	1.904-	ULS-Set  B  (auto)/2	-276.45	-0.24	-0.06	0.00	4.66	0.08
B26	3.808	ULS-Set  B  (auto)/2	-276.78	-0.24	-8.83	0.00	-3.80	-0.38
B27	0.000	ULS-Set  B  (auto)/2	-254.81	-0.72	8.48	0.00	-3.34	1.45
B27	0.000	ULS-Set  B  (auto)/1	-188.75	-0.54	6.28	0.00	-2.47	1.07
B27	1.896-	ULS-Set  B  (auto)/2	-255.78	-0.72	-0.21	0.00	4.50	0.08
B27	3.791	ULS-Set  B  (auto)/2	-256.75	-0.72	-8.89	0.00	-4.13	-1.29
B28	0.000	ULS-Set  B  (auto)/2	-212.11	-1.20	8.25	0.00	-3.21	2.29
B28	0.000	ULS-Set  B  (auto)/1	-157.12	-0.89	6.11	0.00	-2.38	1.70
B28	1.879-	ULS-Set  B  (auto)/2	-213.70	-1.20	-0.26	0.00	4.29	0.04
B28	3.758	ULS-Set  B  (auto)/2	-215.30	-1.20	-8.78	0.00	-4.21	-2.21
B29	0.000	ULS-Set  B  (auto)/2	-142.52	-1.33	7.69	0.00	-2.89	2.82
B29	0.000	ULS-Set  B  (auto)/1	-105.57	-0.99	5.69	0.00	-2.14	2.09
B29	1.649	ULS-Set  B  (auto)/2	-144.47	-1.33	0.34	0.00	3.73	0.63
B29	3.710	ULS-Set  B  (auto)/2	-146.90	-1.33	-8.84	0.00	-5.04	-2.11
B30	0.000	ULS-Set  B  (auto)/1	-32.01	-3.00	5.96	0.00	-1.89	5.19
B30	0.000	ULS-Set  B  (auto)/2	-43.21	-4.04	8.05	0.00	-2.56	7.01
B30	1.824+	ULS-Set  B  (auto)/2	-45.96	-4.04	0.11	0.00	4.88	-0.37
B30	3.647	ULS-Set  B  (auto)/2	-48.71	-4.04	-7.84	0.00	-2.16	-7.74
B31	3.801	ULS-Set  B  (auto)/1	-42.09	2.01	-6.81	0.00	-3.33	3.62
B31	3.801	ULS-Set  B  (auto)/2	-56.82	2.72	-9.20	0.00	-4.49	4.89
B31	1.689	ULS-Set  B  (auto)/2	-59.93	2.72	0.02	0.00	5.19	-0.85
B31	0.000	ULS-Set  B  (auto)/2	-62.42	2.72	7.40	0.00	-1.08	-5.45
B32	3.870	ULS-Set  B  (auto)/1	-120.99	0.67	-5.99	0.00	-2.67	1.48
B32	3.870	ULS-Set  B  (auto)/2	-163.34	0.91	-8.09	0.00	-3.60	2.00
B32	1.935+	ULS-Set  B  (auto)/2	-165.57	0.91	0.54	0.00	3.70	0.24
B32	0.000	ULS-Set  B  (auto)/2	-167.80	0.91	9.18	0.00	-5.71	-1.52
B33	3.924	ULS-Set  B  (auto)/1	-182.62	0.60	-6.51	0.00	-2.86	1.18
B33	3.924	ULS-Set  B  (auto)/2	-246.54	0.80	-8.79	0.00	-3.86	1.59
B33	1.962+	ULS-Set  B  (auto)/2	-248.17	0.80	0.10	0.00	4.67	0.01
B33	0.000	ULS-Set  B  (auto)/2	-249.79	0.80	9.00	0.00	-4.27	-1.56
B34	3.961	ULS-Set  B  (auto)/1	-222.30	0.36	-6.63	0.00	-2.83	0.73
B34	3.961	ULS-Set  B  (auto)/2	-300.10	0.48	-8.95	0.00	-3.82	0.99
B34	1.981+	ULS-Set  B  (auto)/2	-301.09	0.48	0.12	0.00	4.92	0.03
B34	0.000	ULS-Set  B  (auto)/2	-302.08	0.48	9.20	0.00	-4.31	-0.92
B35	3.980	ULS-Set  B  (auto)/1	-241.49	0.12	-6.77	0.00	-2.92	0.26
B35	3.980	ULS-Set  B  (auto)/2	-326.01	0.16	-9.14	0.00	-3.94	0.35
B35	1.990+	ULS-Set  B  (auto)/2	-326.34	0.16	0.03	0.00	5.13	0.03
B35	0.000	ULS-Set  B  (auto)/2	-326.67	0.16	9.19	0.00	-4.05	-0.29
B36	0.000	ULS-Set  B  (auto)/2	-324.76	-0.16	9.14	0.00	-3.94	0.36
B36	0.000	ULS-Set  B  (auto)/1	-240.57	-0.12	6.77	0.00	-2.91	0.26
B36	1.990-	ULS-Set  B  (auto)/2	-325.10	-0.16	-0.03	0.00	5.13	0.03
B36	3.980	ULS-Set  B  (auto)/2	-325.43	-0.16	-9.19	0.00	-4.05	-0.29
B37	0.000	ULS-Set  B  (auto)/2	-296.35	-0.49	8.95	0.00	-3.82	0.99
B37	0.000	ULS-Set  B  (auto)/1	-219.52	-0.36	6.63	0.00	-2.83	0.74
B37	1.981-	ULS-Set  B  (auto)/2	-297.34	-0.49	-0.13	0.00	4.92	0.03
B37	3.961	ULS-Set  B  (auto)/2	-298.33	-0.49	-9.20	0.00	-4.32	-0.93
B38	0.000	ULS-Set  B  (auto)/2	-240.20	-0.81	8.79	0.00	-3.86	1.60
B38	0.000	ULS-Set  B  (auto)/1	-177.93	-0.60	6.51	0.00	-2.86	1.19
B38	1.962-	ULS-Set  B  (auto)/2	-241.83	-0.81	-0.10	0.00	4.67	0.01
B38	3.924	ULS-Set  B  (auto)/2	-243.45	-0.81	-9.00	0.00	-4.27	-1.57
B39	0.000	ULS-Set  B  (auto)/2	-154.34	-0.92	8.09	0.00	-3.60	2.02
B39	0.000	ULS-Set  B  (auto)/1	-114.32	-0.68	5.99	0.00	-2.67	1.49
B39	1.935-	ULS-Set  B  (auto)/2	-156.57	-0.92	-0.55	0.00	3.69	0.24
B39	3.870	ULS-Set  B  (auto)/2	-158.80	-0.92	-9.18	0.00	-5.72	-1.53
B40	0.000	ULS-Set  B  (auto)/1	-33.25	-2.02	6.81	0.00	-3.33	3.63
B40	0.000	ULS-Set  B  (auto)/2	-44.89	-2.73	9.20	0.00	-4.50	4.90
B40	2.111	ULS-Set  B  (auto)/2	-48.00	-2.73	-0.02	0.00	5.19	-0.86
B40	3.801	ULS-Set  B  (auto)/2	-50.49	-2.73	-7.40	0.00	-1.09	-5.47
B41	3.894	ULS-Set  B  (auto)/1	-41.92	0.99	-7.33	0.00	-4.24	1.83
B41	3.894	ULS-Set  B  (auto)/2	-56.59	1.34	-9.89	0.00	-5.73	2.48
B41	1.558	ULS-Set  B  (auto)/2	-59.98	1.34	0.33	0.00	5.45	-0.66
B41	0.000	ULS-Set  B  (auto)/2	-62.25	1.34	7.14	0.00	-0.38	-2.75
B42	3.968	ULS-Set  B  (auto)/1	-123.59	0.34	-6.19	0.00	-3.05	0.76
B42	3.968	ULS-Set  B  (auto)/2	-166.84	0.46	-8.36	0.00	-4.12	1.03
B42	1.984+	ULS-Set  B  (auto)/2	-169.10	0.46	0.50	0.00	3.67	0.12
B42	0.000	ULS-Set  B  (auto)/2	-171.36	0.46	9.37	0.00	-6.12	-0.79
B43	4.026	ULS-Set  B  (auto)/1	-191.14	0.30	-6.76	0.00	-3.20	0.60
B43	4.026	ULS-Set  B  (auto)/2	-258.03	0.40	-9.12	0.00	-4.31	0.81
B43	2.013-	ULS-Set  B  (auto)/2	-259.68	0.40	0.01	0.00	4.86	0.01
B43	0.000	ULS-Set  B  (auto)/2	-261.32	0.40	9.14	0.00	-4.35	-0.80
B44	4.065	ULS-Set  B  (auto)/1	-236.58	0.18	-6.84	0.00	-3.08	0.37
B44	4.065	ULS-Set  B  (auto)/2	-319.39	0.24	-9.24	0.00	-4.15	0.50
B44	2.033-	ULS-Set  B  (auto)/2	-320.39	0.24	0.08	0.00	5.15	0.01
B44	0.000	ULS-Set  B  (auto)/2	-321.39	0.24	9.40	0.00	-4.47	-0.47
B45	4.085	ULS-Set  B  (auto)/1	-259.05	0.06	-6.96	0.00	-3.10	0.13
B45	4.085	ULS-Set  B  (auto)/2	-349.72	0.08	-9.40	0.00	-4.18	0.17
B45	2.043-	ULS-Set  B  (auto)/2	-350.05	0.08	0.01	0.00	5.40	0.01
B45	0.000	ULS-Set  B  (auto)/2	-350.39	0.08	9.42	0.00	-4.23	-0.15
B46	0.000	ULS-Set  B  (auto)/2	-348.24	-0.08	9.40	0.00	-4.18	0.18
B46	0.000	ULS-Set  B  (auto)/1	-257.95	-0.06	6.96	0.00	-3.10	0.13
B46	2.043-	ULS-Set  B  (auto)/2	-348.57	-0.08	-0.01	0.00	5.40	0.01
B46	4.085	ULS-Set  B  (auto)/2	-348.91	-0.08	-9.42	0.00	-4.23	-0.15
B47	0.000	ULS-Set  B  (auto)/2	-314.97	-0.24	9.24	0.00	-4.15	0.50
B47	0.000	ULS-Set  B  (auto)/1	-233.31	-0.18	6.84	0.00	-3.08	0.37
B47	2.033-	ULS-Set  B  (auto)/2	-315.97	-0.24	-0.08	0.00	5.15	0.01
B47	4.065	ULS-Set  B  (auto)/2	-316.97	-0.24	-9.40	0.00	-4.48	-0.48
B48	0.000	ULS-Set  B  (auto)/2	-250.76	-0.40	9.12	0.00	-4.32	0.81
B48	0.000	ULS-Set  B  (auto)/1	-185.75	-0.30	6.76	0.00	-3.20	0.60
B48	2.013-	ULS-Set  B  (auto)/2	-252.41	-0.40	-0.01	0.00	4.86	0.01
B48	4.026	ULS-Set  B  (auto)/2	-254.05	-0.40	-9.14	0.00	-4.36	-0.80
B49	0.000	ULS-Set  B  (auto)/2	-157.02	-0.46	8.36	0.00	-4.12	1.04
B49	0.000	ULS-Set  B  (auto)/1	-116.31	-0.34	6.19	0.00	-3.05	0.77
B49	1.984-	ULS-Set  B  (auto)/2	-159.27	-0.46	-0.51	0.00	3.67	0.12
B49	3.968	ULS-Set  B  (auto)/2	-161.53	-0.46	-9.37	0.00	-6.13	-0.80
B50	0.000	ULS-Set  B  (auto)/1	-32.84	-1.00	7.33	0.00	-4.25	1.84
B50	0.000	ULS-Set  B  (auto)/2	-44.33	-1.35	9.89	0.00	-5.73	2.48
B50	2.337	ULS-Set  B  (auto)/2	-47.73	-1.35	-0.33	0.00	5.44	-0.66
B50	3.894	ULS-Set  B  (auto)/2	-49.99	-1.35	-7.14	0.00	-0.38	-2.76
B51	3.926	ULS-Set  B  (auto)/1	-41.74	0.00	-7.50	0.00	-4.55	0.00
B51	3.926	ULS-Set  B  (auto)/2	-56.35	0.00	-10.12	0.00	-6.14	0.00
B51	1.570	ULS-Set  B  (auto)/2	-59.76	0.00	0.19	0.00	5.56	0.00
B51	0.000	ULS-Set  B  (auto)/2	-62.03	0.00	7.06	0.00	-0.14	0.00
B52	4.001	ULS-Set  B  (auto)/1	-124.11	0.00	-6.26	0.00	-3.19	0.00
B52	4.001	ULS-Set  B  (auto)/2	-167.55	0.00	-8.45	0.00	-4.30	0.00
B52	2.001+	ULS-Set  B  (auto)/2	-169.81	0.00	0.49	0.00	3.66	0.00
B52	0.000	ULS-Set  B  (auto)/2	-172.08	0.00	9.43	0.00	-6.26	0.00
