

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B195	1.982	ULS-Set  B  (auto)/1	-587.50	280.53	29.02	-24.59	515.97	283.11
B195	1.982	ULS-Set  B  (auto)/2	-435.19	207.80	21.50	-18.21	382.20	209.71
B195	0.000	ULS-Set  B  (auto)/2	-432.99	207.80	44.84	-18.21	316.45	-202.15
B195	0.000	ULS-Set  B  (auto)/1	-584.54	280.53	60.54	-24.59	427.21	-272.90
B196	0.000	ULS-Set  B  (auto)/1	-314.15	-6.80	-77.36	-13.55	478.75	13.43
B196	0.000	ULS-Set  B  (auto)/2	-232.70	-5.03	-57.31	-10.04	354.63	9.95
B196	4.662	ULS-Set  B  (auto)/1	-333.69	-6.80	-149.21	-13.55	-49.45	-18.26
B197	1.840	ULS-Set  B  (auto)/2	297.33	1168.82	345.84	83.37	808.24	977.99
B197	0.000	ULS-Set  B  (auto)/2	293.68	1168.82	367.30	83.37	152.25	-1172.33
B197	0.000	ULS-Set  B  (auto)/1	396.47	1577.90	495.85	112.55	205.54	-1582.64
B197	1.840	ULS-Set  B  (auto)/1	401.39	1577.90	466.89	112.55	1091.13	1320.29
B198	3.707	ULS-Set  B  (auto)/2	1607.90	-223.77	-194.38	5.68	-139.70	-402.61
B198	0.000	ULS-Set  B  (auto)/1	2182.54	-302.10	-204.42	7.67	676.72	576.40
B198	0.000	ULS-Set  B  (auto)/2	1616.70	-223.77	-151.42	5.68	501.27	426.96
B198	3.707	ULS-Set  B  (auto)/1	2170.67	-302.10	-262.41	7.67	-188.60	-543.52
B199	0.380	ULS-Set  B  (auto)/1	-2496.92	1829.92	-750.51	213.79	15.80	416.47
B199	0.000	ULS-Set  B  (auto)/2	-1848.79	1355.49	-551.51	158.36	221.95	-206.18
B199	0.380	ULS-Set  B  (auto)/2	-1849.57	1355.49	-555.93	158.36	11.70	308.50
B199	0.000	ULS-Set  B  (auto)/1	-2495.87	1829.92	-744.54	213.79	299.63	-278.34
B200	0.000	ULS-Set  B  (auto)/1	1995.14	-56.40	87.41	29.31	315.06	60.21
B200	4.069	ULS-Set  B  (auto)/2	1478.24	-41.78	16.62	21.71	398.91	-125.38
B200	0.000	ULS-Set  B  (auto)/2	1477.88	-41.78	64.75	21.71	233.38	44.60
B200	4.069	ULS-Set  B  (auto)/1	1995.62	-56.40	22.44	29.31	538.53	-169.26
B201	2.207	ULS-Set  B  (auto)/2	-1642.56	-837.11	31.24	-85.57	166.34	-841.92
B201	0.000	ULS-Set  B  (auto)/1	-2229.34	-1130.10	75.35	-115.52	94.85	1357.94
B201	0.000	ULS-Set  B  (auto)/2	-1651.36	-837.11	55.82	-85.57	70.26	1005.88
B201	2.207	ULS-Set  B  (auto)/1	-2217.45	-1130.10	42.17	-115.52	224.55	-1136.59
B202	2.882	ULS-Set  B  (auto)/2	-1806.56	-230.18	45.57	-28.00	613.59	-265.50
B202	0.000	ULS-Set  B  (auto)/1	-2448.95	-310.75	106.42	-37.80	586.36	537.07
B202	0.000	ULS-Set  B  (auto)/2	-1814.03	-230.18	78.83	-28.00	434.34	397.83
B202	2.882	ULS-Set  B  (auto)/1	-2438.85	-310.75	61.52	-37.80	828.35	-358.43
B203	0.000	ULS-Set  B  (auto)/1	-337.73	-51.34	7.82	-12.59	683.04	107.03
B203	0.000	ULS-Set  B  (auto)/2	-250.17	-38.03	5.79	-9.33	505.96	79.28
B203	3.904	ULS-Set  B  (auto)/2	-255.61	-38.03	-40.07	-9.33	439.04	-69.22
B203	0.651	ULS-Set  B  (auto)/1	-338.95	-51.34	-2.50	-12.59	684.77	73.61
B203	3.904	ULS-Set  B  (auto)/1	-345.07	-51.34	-54.09	-12.59	592.71	-93.44
B204	0.000	ULS-Set  B  (auto)/1	-1546.22	-538.07	-81.92	-14.14	1030.40	-11.39
B204	0.016	ULS-Set  B  (auto)/2	-1145.39	-398.57	-60.87	-10.48	762.26	-14.95
B204	0.016	ULS-Set  B  (auto)/1	-1546.28	-538.07	-82.18	-14.14	1029.05	-20.19
B204	0.000	ULS-Set  B  (auto)/2	-1145.35	-398.57	-60.68	-10.48	763.26	-8.44
B205	3.926	ULS-Set  B  (auto)/1	-1406.88	140.31	-98.09	21.56	332.53	312.26
B205	0.000	ULS-Set  B  (auto)/2	-1031.54	103.94	-27.45	15.97	442.81	-176.72
B205	3.926	ULS-Set  B  (auto)/2	-1042.13	103.94	-72.66	15.97	246.32	231.31
B205	0.000	ULS-Set  B  (auto)/1	-1392.58	140.31	-37.05	21.56	597.80	-238.57
B206	3.343	ULS-Set  B  (auto)/2	-411.51	-26.92	-5.45	-3.17	476.21	-136.97
B206	0.000	ULS-Set  B  (auto)/1	-561.11	-36.34	45.74	-4.28	578.70	-63.43
B206	0.000	ULS-Set  B  (auto)/2	-415.64	-26.92	33.89	-3.17	428.67	-46.99
B206	3.009	ULS-Set  B  (auto)/1	-556.09	-36.34	-2.04	-4.28	644.45	-172.76
B206	3.343	ULS-Set  B  (auto)/1	-555.54	-36.34	-7.35	-4.28	642.88	-184.91
B207	0.000	ULS-Set  B  (auto)/1	-1619.27	-458.82	-119.21	56.77	1252.90	77.73
B207	0.000	ULS-Set  B  (auto)/2	-1199.46	-339.87	-88.31	42.05	928.08	57.58
B207	0.816	ULS-Set  B  (auto)/2	-1199.42	-339.87	-97.96	42.05	852.06	-219.83
B207	0.816	ULS-Set  B  (auto)/1	-1619.22	-458.82	-132.25	56.77	1150.28	-296.77
B208	1.266	ULS-Set  B  (auto)/1	-1662.76	469.66	31.42	-31.83	1280.96	371.20
B208	1.266	ULS-Set  B  (auto)/2	-1231.67	347.90	23.27	-23.58	948.86	274.96
B208	0.000	ULS-Set  B  (auto)/2	-1230.24	347.90	38.19	-23.58	909.94	-165.64
B208	0.000	ULS-Set  B  (auto)/1	-1660.82	469.66	51.55	-31.83	1228.42	-223.61
B209	0.000	ULS-Set  B  (auto)/1	225.90	-70.01	-51.19	-3.23	347.06	55.33
B209	0.000	ULS-Set  B  (auto)/2	167.33	-51.86	-37.92	-2.39	257.08	40.99
B209	2.610	ULS-Set  B  (auto)/2	158.97	-51.86	-67.64	-2.39	119.33	-94.37
B209	2.610	ULS-Set  B  (auto)/1	214.61	-70.01	-91.31	-3.23	161.09	-127.40
B210	0.000	ULS-Set  B  (auto)/1	8.94	-24.39	9.22	133.91	759.90	100.62
B210	1.947	ULS-Set  B  (auto)/1	7.85	-24.39	-21.86	133.91	747.59	53.12
B210	0.649	ULS-Set  B  (auto)/1	8.58	-24.39	-1.14	133.91	762.52	84.79
B210	1.947	ULS-Set  B  (auto)/2	5.81	-18.07	-16.19	99.19	553.77	39.35
B211	3.235	ULS-Set  B  (auto)/2	184.56	21.44	5.04	-43.06	667.25	16.18
B211	0.000	ULS-Set  B  (auto)/2	181.31	21.44	43.16	-43.06	589.29	-53.18
B211	0.000	ULS-Set  B  (auto)/1	244.77	28.95	58.27	-58.13	795.54	-71.79
B211	3.235	ULS-Set  B  (auto)/1	249.15	28.95	6.80	-58.13	900.79	21.84
B212	0.000	ULS-Set  B  (auto)/1	-356.86	-40.63	73.60	38.58	466.77	90.21
B212	4.187	ULS-Set  B  (auto)/2	-257.02	-30.09	5.54	28.57	471.49	-59.17
B212	0.000	ULS-Set  B  (auto)/2	-264.34	-30.09	54.52	28.57	345.76	66.82
B212	4.187	ULS-Set  B  (auto)/1	-346.98	-40.63	7.48	38.58	636.51	-79.87
B213	5.110	ULS-Set  B  (auto)/2	-3415.87	43.25	35.70	42.55	314.99	16.04
B213	0.000	ULS-Set  B  (auto)/1	-4621.88	58.38	129.13	57.44	-27.84	-276.69
B213	5.110	ULS-Set  B  (auto)/1	-4611.42	58.38	48.19	57.44	425.24	21.66
B214	0.000	ULS-Set  B  (auto)/2	513.41	740.25	246.83	-79.10	-89.61	-283.18
B214	0.762	ULS-Set  B  (auto)/2	516.10	740.25	238.22	-79.10	95.26	281.09
B214	0.000	ULS-Set  B  (auto)/1	693.10	999.34	333.22	-106.79	-120.98	-382.29
B214	0.762	ULS-Set  B  (auto)/1	696.73	999.34	321.60	-106.79	128.60	379.48
B215	0.000	ULS-Set  B  (auto)/1	1026.67	-113.63	-83.95	40.08	224.01	291.57
B215	0.000	ULS-Set  B  (auto)/2	760.50	-84.17	-62.19	29.69	165.93	215.98
B215	3.509	ULS-Set  B  (auto)/1	1029.26	-113.63	-139.94	40.08	-168.84	-107.21
B216	0.000	ULS-Set  B  (auto)/1	-1153.66	-1429.49	-573.14	353.13	421.94	218.63
B216	0.000	ULS-Set  B  (auto)/2	-854.57	-1058.88	-424.55	261.58	312.55	161.95
B216	0.158	ULS-Set  B  (auto)/2	-854.81	-1058.88	-426.41	261.58	245.12	-5.85
B216	0.158	ULS-Set  B  (auto)/1	-1154.00	-1429.49	-575.65	353.13	330.92	-7.89
B217	0.000	ULS-Set  B  (auto)/2	-988.52	430.87	-115.83	25.42	355.68	-526.40
B217	2.824	ULS-Set  B  (auto)/1	-1350.84	581.68	-198.41	34.31	-20.80	932.09
B217	0.000	ULS-Set  B  (auto)/1	-1334.51	581.68	-156.37	34.31	480.17	-710.64
B218	3.655	ULS-Set  B  (auto)/2	-3441.30	-63.21	112.56	-59.17	119.18	-79.48
B218	0.000	ULS-Set  B  (auto)/1	-4659.43	-85.33	208.70	-79.88	-498.14	204.54
B218	3.655	ULS-Set  B  (auto)/1	-4645.75	-85.33	151.96	-79.88	160.89	-107.30
B219	3.064	ULS-Set  B  (auto)/2	1998.95	100.93	157.57	21.63	585.84	121.71
B219	0.000	ULS-Set  B  (auto)/2	1993.54	100.93	193.41	21.63	48.16	-187.53
B219	0.000	ULS-Set  B  (auto)/1	2691.28	136.25	261.10	29.21	65.01	-253.16
B219	3.064	ULS-Set  B  (auto)/1	2698.59	136.25	212.72	29.21	790.88	164.31
B220	0.000	ULS-Set  B  (auto)/1	-1872.30	-623.19	-96.31	-144.05	-103.09	692.05
B220	0.000	ULS-Set  B  (auto)/2	-1386.89	-461.62	-71.34	-106.70	-76.36	512.63
B220	2.833	ULS-Set  B  (auto)/1	-1888.74	-623.19	-138.45	-144.05	-435.57	-1073.15
B221	0.000	ULS-Set  B  (auto)/2	-568.75	1765.41	-617.58	285.45	213.42	-528.98
B221	0.997	ULS-Set  B  (auto)/1	-772.36	2383.30	-848.99	385.36	-550.76	1662.14
B221	0.000	ULS-Set  B  (auto)/1	-767.81	2383.30	-833.73	385.36	288.11	-714.12
B222	0.000	ULS-Set  B  (auto)/1	-258.36	-49.98	122.95	10.09	173.62	105.93
B222	4.731	ULS-Set  B  (auto)/2	-182.22	-37.02	35.86	7.47	428.88	-96.69
B222	0.000	ULS-Set  B  (auto)/2	-191.38	-37.02	91.07	7.47	128.61	78.47
B222	4.731	ULS-Set  B  (auto)/1	-246.00	-49.98	48.41	10.09	578.98	-130.53
B223	0.000	ULS-Set  B  (auto)/1	-1085.61	-127.35	4.11	0.10	522.51	164.45
B223	0.000	ULS-Set  B  (auto)/2	-804.15	-94.33	3.04	0.08	387.04	121.82
B223	3.090	ULS-Set  B  (auto)/2	-805.31	-94.33	-33.49	0.08	340.01	-169.64
B223	0.343	ULS-Set  B  (auto)/1	-1085.78	-127.35	-1.37	0.10	522.98	120.74
B223	3.090	ULS-Set  B  (auto)/1	-1087.17	-127.35	-45.21	0.10	459.02	-229.01
B224	0.000	ULS-Set  B  (auto)/1	-1170.59	-94.98	64.84	76.52	761.44	-10.87
B224	1.817	ULS-Set  B  (auto)/2	-870.16	-70.36	26.75	56.68	631.98	-135.92
B224	0.000	ULS-Set  B  (auto)/2	-867.11	-70.36	48.03	56.68	564.03	-8.05
B224	1.817	ULS-Set  B  (auto)/1	-1174.72	-94.98	36.11	76.52	853.17	-183.49
B225	3.225	ULS-Set  B  (auto)/1	-588.26	37.87	26.77	5.94	551.51	51.36
B225	3.225	ULS-Set  B  (auto)/2	-435.75	28.05	19.83	4.40	408.52	38.04
B225	0.000	ULS-Set  B  (auto)/2	-434.02	28.05	57.94	4.40	283.10	-52.44
B225	0.000	ULS-Set  B  (auto)/1	-585.93	37.87	78.23	5.94	382.18	-70.80
B226	0.000	ULS-Set  B  (auto)/2	-381.54	277.67	-7.98	-308.68	360.90	-19.00
B226	0.046	ULS-Set  B  (auto)/1	-514.96	374.85	-11.49	-416.72	486.71	-8.43
B226	0.046	ULS-Set  B  (auto)/2	-381.45	277.67	-8.51	-308.68	360.52	-6.24
B226	0.000	ULS-Set  B  (auto)/1	-515.08	374.85	-10.77	-416.72	487.22	-25.65
B227	0.000	ULS-Set  B  (auto)/1	-2645.38	-194.73	-44.50	63.27	1039.33	125.14
B227	0.000	ULS-Set  B  (auto)/2	-1959.54	-144.25	-32.96	46.87	769.87	92.69
B227	0.852	ULS-Set  B  (auto)/2	-1960.72	-144.25	-42.97	46.87	737.53	-30.19
B227	0.852	ULS-Set  B  (auto)/1	-2646.97	-194.73	-58.01	63.27	995.67	-40.75
B228	0.000	ULS-Set  B  (auto)/2	662.15	163.99	-32.39	-0.13	456.19	-226.04
B228	3.121	ULS-Set  B  (auto)/1	888.35	221.39	-93.26	-0.17	402.09	385.85
B228	3.121	ULS-Set  B  (auto)/2	658.04	163.99	-69.08	-0.13	297.84	285.82
B228	0.000	ULS-Set  B  (auto)/1	893.90	221.39	-43.72	-0.17	615.86	-305.16
B229	0.892	ULS-Set  B  (auto)/2	-770.64	-925.07	141.77	-21.37	797.84	-422.54
B229	0.000	ULS-Set  B  (auto)/1	-1041.05	-1248.84	205.62	-28.85	900.06	543.26
B229	0.000	ULS-Set  B  (auto)/2	-771.15	-925.07	152.31	-21.37	666.71	402.42
B229	0.892	ULS-Set  B  (auto)/1	-1040.36	-1248.84	191.39	-28.85	1077.09	-570.43
B230	3.072	ULS-Set  B  (auto)/1	-1681.33	63.84	-62.29	12.62	816.53	31.86
B230	0.000	ULS-Set  B  (auto)/2	-1249.48	47.29	-10.03	9.35	691.11	-121.67
B230	3.072	ULS-Set  B  (auto)/2	-1245.43	47.29	-46.14	9.35	604.84	23.60
B230	0.000	ULS-Set  B  (auto)/1	-1686.80	63.84	-13.54	12.62	933.00	-164.26
B231	1.438	ULS-Set  B  (auto)/1	-1213.11	182.51	-16.88	17.71	709.23	100.27
B231	1.438	ULS-Set  B  (auto)/2	-898.60	135.20	-12.50	13.12	525.36	74.27
B231	0.360	ULS-Set  B  (auto)/1	-1215.68	182.51	0.15	17.71	718.25	-96.57
B231	0.000	ULS-Set  B  (auto)/1	-1216.54	182.51	5.83	17.71	717.18	-162.19
B232	0.000	ULS-Set  B  (auto)/1	-1259.42	-67.92	-10.86	-11.39	737.23	135.38
B232	0.000	ULS-Set  B  (auto)/2	-932.90	-50.31	-8.04	-8.44	546.09	100.28
B232	3.008	ULS-Set  B  (auto)/2	-933.23	-50.31	-43.63	-8.44	468.38	-51.05
B232	3.008	ULS-Set  B  (auto)/1	-1259.86	-67.92	-58.89	-11.39	632.31	-68.92
B233	0.000	ULS-Set  B  (auto)/1	-2058.24	-193.68	-48.27	12.33	920.92	149.16
B233	0.000	ULS-Set  B  (auto)/2	-1524.62	-143.46	-35.75	9.13	682.16	110.49
B233	1.557	ULS-Set  B  (auto)/2	-1526.10	-143.46	-54.12	9.13	612.18	-112.92
B233	1.557	ULS-Set  B  (auto)/1	-2060.23	-193.68	-73.06	12.33	826.45	-152.45
B234	3.566	ULS-Set  B  (auto)/2	2234.05	-501.38	148.14	-47.69	711.55	-790.33
B234	0.000	ULS-Set  B  (auto)/1	3009.84	-676.87	256.61	-64.38	146.46	1346.84
B234	0.000	ULS-Set  B  (auto)/2	2229.51	-501.38	190.08	-47.69	108.49	997.66
B234	3.566	ULS-Set  B  (auto)/1	3015.97	-676.87	199.99	-64.38	960.60	-1066.95
B235	3.061	ULS-Set  B  (auto)/2	-723.87	244.01	8.27	6.54	253.73	393.36
B235	0.000	ULS-Set  B  (auto)/2	-734.92	244.01	42.75	6.54	175.63	-353.56
B235	0.000	ULS-Set  B  (auto)/1	-992.15	329.42	57.72	8.83	237.11	-477.31
B235	3.061	ULS-Set  B  (auto)/1	-977.23	329.42	11.17	8.83	342.53	531.04
B236	2.555	ULS-Set  B  (auto)/1	-47.42	115.26	-0.92	-42.38	630.79	62.92
B236	0.000	ULS-Set  B  (auto)/2	-32.69	85.38	29.44	-31.39	430.52	-171.51
B236	0.000	ULS-Set  B  (auto)/1	-44.13	115.26	39.74	-42.38	581.20	-231.54
B237	0.000	ULS-Set  B  (auto)/1	-2005.83	-621.57	-90.05	-47.71	763.20	921.44
B237	0.000	ULS-Set  B  (auto)/2	-1485.80	-460.43	-66.70	-35.34	565.33	682.55
B237	3.136	ULS-Set  B  (auto)/2	-1495.65	-460.43	-102.47	-35.34	300.03	-761.56
B237	3.136	ULS-Set  B  (auto)/1	-2019.13	-621.57	-138.33	-47.71	405.05	-1028.11
B238	0.028	ULS-Set  B  (auto)/1	-2498.08	3304.45	-22.23	265.27	391.59	-1136.63
B238	0.000	ULS-Set  B  (auto)/2	-1850.33	2447.74	-16.15	196.50	290.53	-911.68
B238	0.028	ULS-Set  B  (auto)/2	-1850.43	2447.74	-16.47	196.50	290.06	-841.95
B238	0.000	ULS-Set  B  (auto)/1	-2497.94	3304.45	-21.80	265.27	392.21	-1230.77
B239	0.000	ULS-Set  B  (auto)/1	-983.95	-142.46	71.49	39.15	378.68	267.78
B239	4.012	ULS-Set  B  (auto)/2	-738.58	-105.53	6.51	29.00	399.79	-225.03
B239	0.000	ULS-Set  B  (auto)/2	-728.85	-105.53	52.96	29.00	280.51	198.35
B239	4.012	ULS-Set  B  (auto)/1	-997.08	-142.46	8.78	39.15	539.71	-303.79
B240	0.000	ULS-Set  B  (auto)/2	-1050.77	760.49	-205.25	-178.94	660.34	-150.36
B240	0.309	ULS-Set  B  (auto)/1	-1418.53	1026.66	-282.01	-241.57	805.16	113.94
B240	0.309	ULS-Set  B  (auto)/2	-1050.76	760.49	-208.90	-178.94	596.42	84.40
B240	0.000	ULS-Set  B  (auto)/1	-1418.54	1026.66	-277.08	-241.57	891.46	-202.99
B241	0.000	ULS-Set  B  (auto)/2	398.36	-78.40	71.23	-10.45	-3.47	183.81
B241	3.697	ULS-Set  B  (auto)/2	405.46	-78.40	28.08	-10.45	180.11	-106.04
B241	0.000	ULS-Set  B  (auto)/1	537.78	-105.84	96.16	-14.10	-4.68	248.14
B241	3.697	ULS-Set  B  (auto)/1	547.38	-105.84	37.91	-14.10	243.15	-143.16
B242	3.040	ULS-Set  B  (auto)/2	-2584.17	63.91	11.21	-29.55	699.28	146.90
B242	0.000	ULS-Set  B  (auto)/2	-2588.25	63.91	46.94	-29.55	610.91	-47.36
B242	0.000	ULS-Set  B  (auto)/1	-3494.14	86.28	63.36	-39.89	824.72	-63.94
B242	3.040	ULS-Set  B  (auto)/1	-3488.63	86.28	15.14	-39.89	944.03	198.31
B243	1.750	ULS-Set  B  (auto)/1	-495.99	231.04	-80.51	61.18	639.18	136.77
B243	0.000	ULS-Set  B  (auto)/2	-365.55	171.14	-39.02	45.31	559.79	-198.19
B243	1.750	ULS-Set  B  (auto)/2	-367.40	171.14	-59.63	45.31	473.47	101.31
B243	0.000	ULS-Set  B  (auto)/1	-493.49	231.04	-52.67	61.18	755.71	-267.56
B244	3.642	ULS-Set  B  (auto)/2	-988.51	-149.03	63.96	-18.24	303.05	-252.56
B244	0.000	ULS-Set  B  (auto)/1	-1349.47	-201.19	142.54	-24.62	-7.71	391.83
B244	3.642	ULS-Set  B  (auto)/1	-1334.49	-201.19	86.34	-24.62	409.12	-340.96
B245	3.444	ULS-Set  B  (auto)/2	-158.82	146.88	80.00	-6.47	647.59	320.13
B245	0.000	ULS-Set  B  (auto)/2	-163.05	146.88	120.52	-6.47	302.33	-185.67
B245	0.000	ULS-Set  B  (auto)/1	-220.12	198.29	162.70	-8.74	408.15	-250.66
B245	3.444	ULS-Set  B  (auto)/1	-214.41	198.29	108.00	-8.74	874.25	432.17
B246	0.000	ULS-Set  B  (auto)/1	101.26	-685.45	-91.87	52.65	725.77	102.74
B246	0.000	ULS-Set  B  (auto)/2	75.01	-507.74	-68.05	39.00	537.61	76.10
B246	1.025	ULS-Set  B  (auto)/2	74.49	-507.74	-80.17	39.00	461.62	-444.51
B246	1.025	ULS-Set  B  (auto)/1	100.56	-685.45	-108.23	52.65	623.18	-600.08
B247	0.736	ULS-Set  B  (auto)/1	-1842.70	-190.66	-32.83	-135.38	519.74	8.64
B247	0.000	ULS-Set  B  (auto)/1	-1839.88	-190.66	-21.41	-135.38	539.71	149.00
B247	0.000	ULS-Set  B  (auto)/2	-1362.88	-141.23	-15.86	-100.28	399.78	110.37
B247	0.736	ULS-Set  B  (auto)/2	-1364.97	-141.23	-24.32	-100.28	384.99	6.40
B248	0.000	ULS-Set  B  (auto)/1	-1739.00	-27.97	25.78	14.10	413.45	28.33
B248	0.000	ULS-Set  B  (auto)/2	-1288.15	-20.72	19.10	10.44	306.26	20.98
B248	3.997	ULS-Set  B  (auto)/2	-1299.01	-20.72	-26.92	10.44	290.63	-61.83
B248	1.665	ULS-Set  B  (auto)/1	-1745.11	-27.97	-0.10	14.10	434.84	-18.25
B248	3.997	ULS-Set  B  (auto)/1	-1753.67	-27.97	-36.34	14.10	392.35	-83.47
B249	0.000	ULS-Set  B  (auto)/2	-7646.10	1066.78	-207.97	216.28	-247.83	-1357.74
B249	2.708	ULS-Set  B  (auto)/1	-10332.38	1440.15	-322.81	291.97	-1151.88	2067.30
B249	0.000	ULS-Set  B  (auto)/1	-10322.23	1440.15	-280.77	291.97	-334.57	-1832.95
B250	0.000	ULS-Set  B  (auto)/2	2149.57	-1190.28	667.27	-131.79	-462.61	1326.99
B250	2.253	ULS-Set  B  (auto)/2	2155.01	-1190.28	641.18	-131.79	1011.16	-1354.35
B250	0.000	ULS-Set  B  (auto)/1	2901.92	-1606.88	900.81	-177.91	-624.52	1791.43
B250	2.253	ULS-Set  B  (auto)/1	2909.27	-1606.88	865.60	-177.91	1365.06	-1828.38
B251	2.588	ULS-Set  B  (auto)/2	-2111.46	955.23	379.21	171.95	214.57	1200.98
B251	0.000	ULS-Set  B  (auto)/1	-2861.20	1289.56	551.85	232.13	-1087.03	-1716.43
B251	2.588	ULS-Set  B  (auto)/1	-2850.47	1289.56	511.94	232.13	289.67	1621.32
B252	1.106	ULS-Set  B  (auto)/2	-494.23	145.35	29.54	-22.57	166.33	373.84
B252	0.000	ULS-Set  B  (auto)/1	-669.18	196.23	57.43	-30.47	170.73	287.64
B252	0.000	ULS-Set  B  (auto)/2	-495.69	145.35	42.54	-22.57	126.47	213.07
B252	1.106	ULS-Set  B  (auto)/1	-667.21	196.23	39.87	-30.47	224.54	504.69
B253	0.000	ULS-Set  B  (auto)/1	-360.08	-2335.32	-718.22	-323.87	408.57	1748.66
B253	0.000	ULS-Set  B  (auto)/2	-266.73	-1729.87	-532.01	-239.90	302.64	1295.30
B253	1.768	ULS-Set  B  (auto)/1	-369.99	-2335.32	-744.66	-323.87	-884.82	-2380.82
B254	0.000	ULS-Set  B  (auto)/1	-1350.94	-11.80	67.04	-52.67	540.32	148.74
B254	0.000	ULS-Set  B  (auto)/2	-1000.70	-8.74	49.66	-39.01	400.24	110.18
B254	3.912	ULS-Set  B  (auto)/1	-1341.03	-11.80	5.37	-52.67	681.94	102.58
B254	3.912	ULS-Set  B  (auto)/2	-993.36	-8.74	3.98	-39.01	505.14	75.99
B255	2.894	ULS-Set  B  (auto)/1	-629.23	215.14	-3.46	16.22	594.49	147.81
B255	0.000	ULS-Set  B  (auto)/2	-465.45	159.36	31.66	12.02	398.26	-351.72
B255	2.573	ULS-Set  B  (auto)/1	-629.13	215.14	1.67	16.22	594.78	78.63
B255	0.000	ULS-Set  B  (auto)/1	-628.35	215.14	42.74	16.22	537.65	-474.82
B256	0.000	ULS-Set  B  (auto)/1	-2867.87	-2.41	16.59	15.60	668.79	105.74
B256	3.859	ULS-Set  B  (auto)/1	-2879.83	-2.41	-43.86	15.60	616.16	96.43
B256	0.000	ULS-Set  B  (auto)/2	-2124.35	-1.79	12.29	11.56	495.40	78.33
B256	0.965	ULS-Set  B  (auto)/1	-2870.86	-2.41	1.47	15.60	677.51	103.41
B256	3.859	ULS-Set  B  (auto)/2	-2133.21	-1.79	-32.49	11.56	456.42	71.43
B257	3.998	ULS-Set  B  (auto)/1	629.20	22.82	-30.56	14.89	504.67	-60.84
B257	0.000	ULS-Set  B  (auto)/2	463.90	16.90	24.60	11.03	369.91	-112.64
B257	1.999+	ULS-Set  B  (auto)/1	627.73	22.82	1.33	14.89	533.90	-106.45
B257	0.000	ULS-Set  B  (auto)/1	626.26	22.82	33.21	14.89	499.37	-152.07
B257	3.998	ULS-Set  B  (auto)/2	466.07	16.90	-22.64	11.03	373.83	-45.07
B258	0.000	ULS-Set  B  (auto)/2	331.84	287.53	-28.97	-196.43	976.91	-86.55
B258	0.028	ULS-Set  B  (auto)/1	448.01	388.16	-39.56	-265.17	1317.72	-105.90
B258	0.028	ULS-Set  B  (auto)/2	331.86	287.53	-29.31	-196.43	976.09	-78.45
B258	0.000	ULS-Set  B  (auto)/1	447.98	388.16	-39.11	-265.17	1318.83	-116.84
B259	0.000	ULS-Set  B  (auto)/1	506.34	-103.40	138.33	6.87	201.69	180.31
B259	3.781	ULS-Set  B  (auto)/2	383.68	-76.59	58.57	5.09	453.88	-156.07
B259	0.000	ULS-Set  B  (auto)/2	375.07	-76.59	102.47	5.09	149.40	133.57
B259	3.781	ULS-Set  B  (auto)/1	517.96	-103.40	79.07	6.87	612.74	-210.69
B260	0.000	ULS-Set  B  (auto)/1	-911.01	-332.15	11.92	2.95	982.02	319.98
B260	1.811	ULS-Set  B  (auto)/2	-671.50	-246.04	-12.34	2.19	724.24	-208.53
B260	0.724	ULS-Set  B  (auto)/1	-909.22	-332.15	0.49	2.95	986.51	79.38
B260	1.811	ULS-Set  B  (auto)/1	-906.53	-332.15	-16.65	2.95	977.73	-281.52
B261	3.354	ULS-Set  B  (auto)/2	-1090.76	-14.21	6.38	-3.04	682.36	-2.37
B261	0.000	ULS-Set  B  (auto)/1	-1471.29	-19.19	62.17	-4.11	802.48	61.15
B261	0.000	ULS-Set  B  (auto)/2	-1089.84	-14.21	46.05	-3.04	594.43	45.30
B261	3.354	ULS-Set  B  (auto)/1	-1472.52	-19.19	8.62	-4.11	921.19	-3.21
B262	0.000	ULS-Set  B  (auto)/1	-127.67	-74.72	45.81	28.74	402.66	83.73
B262	0.000	ULS-Set  B  (auto)/2	-94.57	-55.35	33.93	21.29	298.27	62.02
B262	3.113	ULS-Set  B  (auto)/1	-139.40	-74.72	-2.50	28.74	470.06	-148.86
B262	3.805	ULS-Set  B  (auto)/1	-142.00	-74.72	-13.24	28.74	464.62	-200.54
B263	2.126	ULS-Set  B  (auto)/1	-7852.85	1421.62	1.42	181.23	-94.25	1279.59
B263	2.126	ULS-Set  B  (auto)/2	-5816.92	1053.05	1.05	134.24	-69.82	947.84
B263	0.000	ULS-Set  B  (auto)/2	-5807.89	1053.05	24.51	134.24	-96.98	-1290.44
B263	0.000	ULS-Set  B  (auto)/1	-7840.65	1421.62	33.09	181.23	-130.93	-1742.10
B264	4.249	ULS-Set  B  (auto)/2	-8933.22	-387.01	-72.28	-210.39	-429.35	-735.60
