

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B15	4.275	ULS-Set  B  (auto)/1	-2283.46	26.68	1.70	17.58	1355.28	43.44
B15	0.000	ULS-Set  B  (auto)/1	-2284.54	26.68	69.96	17.58	1202.09	-70.60
B16	1.247	ULS-Set  B  (auto)/2	-1.09	-185.00	92.42	-4.25	123.05	-94.27
B16	0.000	ULS-Set  B  (auto)/1	-7.96	-249.74	143.59	-5.73	-1.19	184.13
B16	1.247	ULS-Set  B  (auto)/1	-1.47	-249.74	124.77	-5.73	166.12	-127.27
B17	2.305	ULS-Set  B  (auto)/2	-379.70	-113.61	-2.57	106.21	568.21	-155.63
B17	0.000	ULS-Set  B  (auto)/1	-516.53	-153.38	33.13	143.38	732.90	143.40
B17	0.000	ULS-Set  B  (auto)/2	-382.61	-113.61	24.54	106.21	542.89	106.22
B17	1.975	ULS-Set  B  (auto)/1	-513.15	-153.38	1.76	143.38	767.36	-159.60
B17	2.305	ULS-Set  B  (auto)/1	-512.59	-153.38	-3.46	143.38	767.08	-210.10
B18	0.000	ULS-Set  B  (auto)/2	-454.78	82.18	9.87	-54.66	650.00	-95.13
B18	2.055	ULS-Set  B  (auto)/1	-616.34	110.94	-19.39	-73.79	871.28	99.52
B18	2.055	ULS-Set  B  (auto)/2	-456.55	82.18	-14.37	-54.66	645.39	73.72
B18	0.685	ULS-Set  B  (auto)/1	-614.75	110.94	2.42	-73.79	882.90	-52.44
B18	0.000	ULS-Set  B  (auto)/1	-613.95	110.94	13.33	-73.79	877.51	-128.43
B19	0.000	ULS-Set  B  (auto)/2	-120.56	84.22	-54.64	-26.58	118.14	-15.08
B19	1.821	ULS-Set  B  (auto)/1	-172.05	113.69	-101.31	-35.89	0.10	186.65
B19	1.821	ULS-Set  B  (auto)/2	-127.44	84.22	-75.05	-26.58	0.08	138.26
B19	0.000	ULS-Set  B  (auto)/1	-162.76	113.69	-73.76	-35.89	159.49	-20.36
B20	2.898	ULS-Set  B  (auto)/2	-1719.49	155.05	9.89	21.74	643.41	180.24
B20	0.000	ULS-Set  B  (auto)/2	-1723.22	155.05	43.97	21.74	565.36	-269.13
B20	0.000	ULS-Set  B  (auto)/1	-2326.35	209.32	59.36	29.35	763.23	-363.33
B20	2.898	ULS-Set  B  (auto)/1	-2321.31	209.32	13.35	29.35	868.60	243.32
B21	2.085	ULS-Set  B  (auto)/2	-775.62	145.85	9.58	12.14	451.02	173.73
B21	0.000	ULS-Set  B  (auto)/2	-776.27	145.85	34.23	12.14	405.36	-130.33
B21	0.000	ULS-Set  B  (auto)/1	-1047.97	196.90	46.21	16.39	547.23	-175.94
B21	2.085	ULS-Set  B  (auto)/1	-1047.08	196.90	12.93	16.39	608.87	234.53
B22	0.000	ULS-Set  B  (auto)/1	-968.77	-101.84	33.73	-8.73	698.70	137.52
B22	0.000	ULS-Set  B  (auto)/2	-717.61	-75.44	24.98	-6.47	517.56	101.86
B22	1.992	ULS-Set  B  (auto)/1	-972.66	-101.84	2.15	-8.73	734.44	-65.39
B22	2.324	ULS-Set  B  (auto)/1	-973.31	-101.84	-3.11	-8.73	734.28	-99.20
B23	0.000	ULS-Set  B  (auto)/2	-314.62	177.45	-1.98	-5.52	562.97	-276.34
B23	2.915	ULS-Set  B  (auto)/1	-428.83	239.56	-49.05	-7.45	684.63	325.38
B23	2.915	ULS-Set  B  (auto)/2	-317.65	177.45	-36.33	-5.52	507.13	241.02
B23	0.000	ULS-Set  B  (auto)/1	-424.73	239.56	-2.67	-7.45	760.01	-373.06
B24	1.921	ULS-Set  B  (auto)/1	39.06	79.72	-62.91	2.99	635.95	78.76
B24	0.000	ULS-Set  B  (auto)/2	29.14	59.05	-23.87	2.21	538.77	-55.12
B24	1.921	ULS-Set  B  (auto)/2	28.93	59.05	-46.60	2.21	471.08	58.34
B24	0.000	ULS-Set  B  (auto)/1	39.34	79.72	-32.22	2.99	727.34	-74.42
B25	1.380	ULS-Set  B  (auto)/2	-1964.07	-412.43	18.55	-64.18	856.55	-213.29
B25	0.000	ULS-Set  B  (auto)/1	-2654.49	-556.79	46.87	-86.64	1106.74	480.28
B25	0.000	ULS-Set  B  (auto)/2	-1966.29	-412.43	34.72	-64.18	819.80	355.76
B25	1.380	ULS-Set  B  (auto)/1	-2651.49	-556.79	25.04	-86.64	1156.34	-287.94
B26	0.000	ULS-Set  B  (auto)/2	503.19	74.57	-30.74	-8.80	468.36	-240.47
B26	3.301	ULS-Set  B  (auto)/1	678.88	100.67	-94.21	-11.88	408.30	7.69
B26	3.301	ULS-Set  B  (auto)/2	502.88	74.57	-69.78	-8.80	302.45	5.70
B26	0.000	ULS-Set  B  (auto)/1	679.30	100.67	-41.50	-11.88	632.28	-324.64
B27	0.000	ULS-Set  B  (auto)/1	-642.48	-401.68	79.21	9.54	268.50	669.55
B27	3.030	ULS-Set  B  (auto)/2	-465.47	-297.54	24.39	7.07	324.72	-405.58
B27	0.000	ULS-Set  B  (auto)/2	-475.91	-297.54	58.67	7.07	198.89	495.96
B27	3.030	ULS-Set  B  (auto)/1	-628.38	-401.68	32.92	9.54	438.38	-547.53
B28	1.859	ULS-Set  B  (auto)/2	-470.49	262.84	98.51	-44.25	674.38	184.79
B28	0.000	ULS-Set  B  (auto)/2	-472.55	262.84	120.40	-44.25	470.94	-303.73
B28	0.000	ULS-Set  B  (auto)/1	-637.95	354.83	162.54	-59.74	635.76	-410.03
B28	1.859	ULS-Set  B  (auto)/1	-635.16	354.83	132.99	-59.74	910.41	249.46
B29	0.000	ULS-Set  B  (auto)/1	-5.21	-230.18	-49.74	46.90	376.72	403.63
B29	0.000	ULS-Set  B  (auto)/2	-3.86	-170.51	-36.85	34.74	279.05	298.98
B29	2.928	ULS-Set  B  (auto)/2	-11.72	-170.51	-70.58	34.74	121.75	-200.33
B29	2.928	ULS-Set  B  (auto)/1	-15.82	-230.18	-95.29	46.90	164.36	-270.44
B30	1.800	ULS-Set  B  (auto)/1	-410.68	97.46	-217.89	28.48	406.64	243.25
B30	1.800	ULS-Set  B  (auto)/2	-304.21	72.20	-161.40	21.10	301.22	180.19
B30	0.000	ULS-Set  B  (auto)/1	-404.84	97.46	-189.75	28.48	773.47	67.84
B30	0.000	ULS-Set  B  (auto)/2	-299.88	72.20	-140.56	21.10	572.94	50.25
B31	5.858	ULS-Set  B  (auto)/2	-6856.20	-141.69	51.98	-63.20	-355.93	-348.46
B31	0.000	ULS-Set  B  (auto)/1	-9274.61	-191.27	161.82	-85.32	-1159.99	650.07
B31	5.858	ULS-Set  B  (auto)/1	-9255.86	-191.27	70.17	-85.32	-480.50	-470.43
B32	0.000	ULS-Set  B  (auto)/2	1895.39	1629.14	786.85	-8.89	-591.55	-1373.22
B32	1.597	ULS-Set  B  (auto)/2	1899.51	1629.14	768.42	-8.89	650.32	1228.50
B32	0.000	ULS-Set  B  (auto)/1	2558.78	2199.34	1062.25	-12.01	-798.60	-1853.84
B32	1.597	ULS-Set  B  (auto)/1	2564.34	2199.34	1037.36	-12.01	877.93	1658.47
B33	2.503	ULS-Set  B  (auto)/2	2082.01	-681.17	-234.65	-115.57	-37.31	-765.67
B33	0.000	ULS-Set  B  (auto)/1	2814.90	-919.58	-277.02	-156.02	692.91	1268.48
B33	0.000	ULS-Set  B  (auto)/2	2085.11	-681.17	-205.20	-115.57	513.27	939.61
B33	2.503	ULS-Set  B  (auto)/1	2810.72	-919.58	-316.78	-156.02	-50.37	-1033.66
B34	0.000	ULS-Set  B  (auto)/1	-813.22	-1218.34	-374.16	-74.94	474.55	1168.93
B34	0.000	ULS-Set  B  (auto)/2	-602.39	-902.47	-277.16	-55.51	351.52	865.88
B34	2.294	ULS-Set  B  (auto)/1	-824.51	-1218.34	-409.01	-74.94	-423.81	-1626.12
B35	0.000	ULS-Set  B  (auto)/2	-793.40	2688.99	-452.64	115.23	298.50	-1855.57
B35	1.272	ULS-Set  B  (auto)/1	-1079.93	3630.13	-629.35	155.56	-385.71	2111.17
B35	0.000	ULS-Set  B  (auto)/1	-1071.09	3630.13	-611.07	155.56	402.97	-2505.02
B36	0.000	ULS-Set  B  (auto)/2	-3691.79	966.13	-331.80	95.68	136.17	-940.43
B36	2.292	ULS-Set  B  (auto)/1	-4992.44	1304.27	-483.53	129.17	-883.59	1719.72
B36	0.000	ULS-Set  B  (auto)/1	-4983.91	1304.27	-447.93	129.17	183.84	-1269.58
B37	0.000	ULS-Set  B  (auto)/2	1569.91	-937.32	522.23	-150.94	-183.21	933.27
B37	1.670	ULS-Set  B  (auto)/2	1574.14	-937.32	502.93	-150.94	672.86	-632.18
B37	0.000	ULS-Set  B  (auto)/1	2119.38	-1265.38	705.01	-203.78	-247.34	1259.91
B37	1.670	ULS-Set  B  (auto)/1	2125.09	-1265.38	678.96	-203.78	908.37	-853.44
B38	0.000	ULS-Set  B  (auto)/1	-301.44	-21.66	124.83	127.84	95.21	-270.62
B38	2.800	ULS-Set  B  (auto)/2	-211.82	-16.04	61.40	94.70	285.93	-245.38
B38	0.000	ULS-Set  B  (auto)/2	-223.29	-16.04	92.47	94.70	70.53	-200.46
B38	2.800	ULS-Set  B  (auto)/1	-285.96	-21.66	82.89	127.84	386.00	-331.26
B39	1.704	ULS-Set  B  (auto)/2	1718.74	1570.93	440.16	43.50	847.20	1407.22
B39	0.000	ULS-Set  B  (auto)/2	1715.55	1570.93	460.06	43.50	80.35	-1269.15
B39	0.000	ULS-Set  B  (auto)/1	2315.99	2120.76	621.08	58.72	108.48	-1713.36
B39	1.704	ULS-Set  B  (auto)/1	2320.30	2120.76	594.22	58.72	1143.72	1899.75
B40	0.000	ULS-Set  B  (auto)/1	-1347.45	-502.03	-231.84	-55.48	574.96	923.83
B40	0.000	ULS-Set  B  (auto)/2	-998.11	-371.87	-171.74	-41.10	425.90	684.32
B40	3.851	ULS-Set  B  (auto)/1	-1364.43	-502.03	-290.96	-55.48	-431.82	-1009.72
B41	1.138	ULS-Set  B  (auto)/1	-3668.62	-17.61	-18.28	-20.02	1122.99	1.19
B41	0.000	ULS-Set  B  (auto)/1	-3667.66	-17.61	-0.12	-20.02	1133.47	21.24
B41	0.000	ULS-Set  B  (auto)/2	-2716.79	-13.05	-0.09	-14.83	839.60	15.73
B41	1.138	ULS-Set  B  (auto)/2	-2717.50	-13.05	-13.54	-14.83	831.85	0.88
B42	1.346	ULS-Set  B  (auto)/1	-2893.87	442.23	-6.79	51.12	881.55	281.45
B42	0.000	ULS-Set  B  (auto)/2	-2142.59	327.58	10.86	37.87	649.07	-232.52
B42	1.010	ULS-Set  B  (auto)/1	-2893.53	442.23	-1.42	51.12	882.93	132.61
B42	0.000	ULS-Set  B  (auto)/1	-2892.50	442.23	14.67	51.12	876.24	-313.90
B43	1.892	ULS-Set  B  (auto)/1	-875.07	18.80	10.35	-8.11	501.59	81.60
B43	1.892	ULS-Set  B  (auto)/2	-648.20	13.93	7.67	-6.00	371.55	60.44
B43	0.000	ULS-Set  B  (auto)/1	-874.25	18.80	40.56	-8.11	453.43	46.03
B43	0.000	ULS-Set  B  (auto)/2	-647.59	13.93	30.04	-6.00	335.88	34.09
B44	0.000	ULS-Set  B  (auto)/1	-1204.19	-229.57	63.13	19.39	550.95	269.99
B44	2.459	ULS-Set  B  (auto)/2	-891.72	-170.05	17.68	14.36	487.34	-218.16
B44	0.000	ULS-Set  B  (auto)/2	-891.99	-170.05	46.76	14.36	408.11	199.99
B44	2.459	ULS-Set  B  (auto)/1	-1203.82	-229.57	23.86	19.39	657.90	-294.52
B45	1.304	ULS-Set  B  (auto)/2	-1236.97	129.23	-7.05	-25.59	656.65	35.25
B45	1.304	ULS-Set  B  (auto)/1	-1669.91	174.46	-9.52	-34.55	886.48	47.59
B45	0.000	ULS-Set  B  (auto)/2	-1237.74	129.23	8.35	-25.59	655.80	-133.22
B45	0.652-	ULS-Set  B  (auto)/1	-1670.43	174.46	0.88	-34.55	889.29	-66.13
B45	0.000	ULS-Set  B  (auto)/1	-1670.95	174.46	11.28	-34.55	885.33	-179.85
B46	1.892	ULS-Set  B  (auto)/1	-1064.98	178.48	-21.21	20.21	641.50	166.89
B46	1.892	ULS-Set  B  (auto)/2	-788.87	132.21	-15.71	14.97	475.19	123.62
B46	0.378	ULS-Set  B  (auto)/1	-1066.49	178.48	2.91	20.21	655.35	-103.26
B46	0.000	ULS-Set  B  (auto)/1	-1066.87	178.48	8.95	20.21	653.10	-170.79
B47	0.000	ULS-Set  B  (auto)/1	-1049.96	-111.99	22.01	-6.70	587.08	225.18
B47	0.000	ULS-Set  B  (auto)/2	-777.75	-82.96	16.30	-4.97	434.88	166.80
B47	3.991	ULS-Set  B  (auto)/2	-777.86	-82.96	-30.91	-4.97	405.73	-164.28
